群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,カインズ太田丸山②,店頭屋外レジ小屋前,太田市丸山町1380,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,コメリハード&グリーン高崎箕郷①,屋内スペース,高崎市箕郷町上芝612番地,1.8m×1.8m～,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,契約行為不可(販売カー利用時車内にて契約行為可能)
,コメリハード&グリーン高崎箕郷②,販売カー区画,高崎市箕郷町上芝612番地,駐車場1台分,屋外,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,契約行為不可(販売カー利用時車内にて契約行為可能)
,コメリハード&グリーン富岡①,屋内スペース,富岡市下高瀬201番地11,1.8m×1.8m～,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,契約行為不可(販売カー利用時車内にて契約行為可能)
,コメリハード&グリーン富岡②,販売カー区画,富岡市下高瀬201番地11,駐車場1台分,屋外,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,契約行為不可(販売カー利用時車内にて契約行為可能)
,コメリパワー前橋①,屋内スペース,前橋市富田町1773の8,1.8m×1.8m～,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,契約行為不可(販売カー利用時車内にて契約行為可能)
,コメリパワー前橋②,販売カー区画,前橋市富田町1773の8,駐車場1台分,屋外,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,契約行為不可(販売カー利用時車内にて契約行為可能)
,こんにゃくパーク①,屋外本館沿い区画,甘楽郡甘楽町小幡204-1,長机2～3台分程,屋外,グラスト,"30,000","40,000",要確認,要確認,要確認,要確認,屋外フーズマーケット付近区画のみ電源無し
,こんにゃくパーク②,屋外フーズマーケット付近区画,甘楽郡甘楽町小幡204-1,長机3～4台分程,屋外,グラスト,"25,000","35,000",要確認,要確認,要確認,要確認,屋外フーズマーケット付近区画のみ電源無し
,ジョイホンパーク吉岡①,1階エスカレーター脇,北群馬郡吉岡町大久保364-1,2.3m×5.5m,屋内（風除室含む）,場所取る,"48,000","118,000",要確認,要確認,要確認,有,SB・DS催事不可、8/13～16、12/28～31は土日祝価格
,ジョイホンパーク吉岡②,2階フードコート前,北群馬郡吉岡町大久保364-1,2m×6m,屋内（風除室含む）,場所取る,"48,000","118,000",要確認,要確認,要確認,有,SB・DS催事不可、8/13～16、12/28～31は土日祝価格
,ジョイホンパーク吉岡③,1階ロビー風除室脇,北群馬郡吉岡町大久保364-1,5.5m×3.5m,屋内（風除室含む）,場所取る,"48,000","118,000",要確認,要確認,要確認,有,SB・DS催事不可、8/13～16、12/28～31は土日祝価格
,ジョイフル本田新田,オートレーン横,太田市新田市野井町556-1,1.8m×9.5m,屋内（風除室含む）,場所取る,"48,000","118,000",要確認,要確認,要確認,有,8/13～16、12/28～31は土日祝価格
,ジョイフル本田千代田①,センターコート（しまむら前）,邑楽郡千代田町萱野813-1,6m×8m,屋内（風除室含む）,場所取る,"48,000","118,000",要確認,要確認,要確認,有,8/13～16、12/28～31は土日祝価格
,ジョイフル本田千代田②,フードコート前,邑楽郡千代田町萱野813-1,2m×4m,屋内（風除室含む）,場所取る,"43,000","98,000",要確認,要確認,要確認,有,
,スーパーセンターフィール,セキチュー側通路,藤岡市中栗須390,長机1～2台分程,屋内（風除室含む）,グラスト,"10,000","10,000",要確認,要確認,要確認,要確認,保険催事不可
,スマーク伊勢崎①,1Fはるなプラザ,伊勢崎市西小保方町368,68坪,屋内（風除室含む）,グラスト,"144,000","216,000",要確認,要確認,要確認,要確認,
,スマーク伊勢崎②,1Fみょうぎプラザ,伊勢崎市西小保方町368,26坪,屋内（風除室含む）,グラスト,"120,000","180,000",要確認,要確認,要確認,要確認,
