長野,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,TSUTAYA,TSUTAYA箕輪,上伊那郡箕輪町三日町933-1,長机1~2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,TSUTAYA,軽井沢書店,北佐久郡軽井沢町軽井沢大字1323,長机1~2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,佐久インターウェーブ,佐久インターウェーブ,佐久市小田井613-1,長机2台分程,屋内（風除室含む）,グラスト,"17,000","17,000",要確認,,,,,,,,,,,
,コメリ,コメリパワー安曇野,安曇野市豊科南穂高1251番,1.8m×1.8m～,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,契約行為不可,,,,,,,
,ながの東急ライフ,ながの東急ライフ,長野市吉田3-22-1,長机2台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,電源有り・備品貸出可能,,,,,,,
,佐久穂町ショッピングパーク・ラーチ,佐久穂町ショッピングパーク・ラーチ,南佐久郡佐久穂町大字高野町716,長机2台程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,ハッシュタグ佐久,ハッシュタグ佐久①　催事スペース(1区画),佐久市岩村田北１丁目22-3,,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,ハッシュタグ佐久,ハッシュタグ佐久②　催事スペース(2区画),佐久市岩村田北１丁目22-3,,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,メリーパーク,メリーパーク,茅野市宮川4449番地1,長机2台程,屋内（風除室含む）,グラスト,"21,000","21,000",要確認,,,,"別途事前搬入2,000円",,,,,,,
,綿半,綿半スーパーセンター上田,上田市神畑389番1,3m×4ｍ,屋外,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,HAMAフラワーパーク安曇野,HAMAフラワーパーク安曇野,安曇野市三郷温5919,25㎡,屋外,グラスト,"18,000","18,000",要確認,,,,電源有り・備品貸出可能,,,,,,,
,ながたの湯,ながたの湯,箕輪町大字中箕輪2134番地42,長机1~2台程度,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,電源有り・備品貸出可能,,,,,,,
,フィットイージー,フィットイージー岡谷,岡谷市長地権現町1丁目6-21,長机1台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,フィットイージー,フィットイージー伊那,伊那市中央437,長机1台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,フィットイージー,フィットイージー飯田,飯田市座光寺3797-1,長机1台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,ほりでーゆ～四季の郷,ほりでーゆ～四季の郷,安曇野市堀金烏川11－1,長机コの字8台分,屋内（風除室含む）,グラスト,"130,000","130,000",要確認,,,,電源有り・備品貸出可能,,,,,,,
,ショッピングタウンあおぞら,ショッピングタウンあおぞら①　1F店内スペース,長野市東和田930,約4坪,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,店舗入口から20m程の為現場確認必須。空調設備故障中の為冬季は暖房器具持ち込みOK(電気ストーブのみ),,,,,,,
,ショッピングタウンあおぞら,ショッピングタウンあおぞら②　2F空テナントスペース,,約15坪,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,店舗入口から20m程の為現場確認必須。空調設備故障中の為冬季は暖房器具持ち込みOK(電気ストーブのみ),,,,,,,
,綿半,綿半スーパーセンター権堂,長野市権堂町2196番地1,約10㎡,屋内（風除室含む）,グラスト,"58,000","65,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,①長野店/1Fエレベーター前,長野市高田1758,1.8㎡,屋内（風除室含む）,自由市場,"30,000","50,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,②長野店/2F屋外スペース,長野市高田1758,3.8㎡,屋外,自由市場,"16,000","16,000",要確認,,,,,,,,,,,
,ナナーズ,ナナーズ川上,南佐久郡川上村大深山1186,長机2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,ナナーズ,ナナーズ小海,南佐久郡小海町豊里2078-1,長机1～2台程,屋外,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,ナナーズ,ナナーズ安原,佐久市安原字東 大久保1270-1,長机2台分程,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,,,,,,,,,,,
,ナナーズ,ナナーズ東御,東御市滋野字小原乙2511-1,長机2台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,Aコープ長野,アグリスA・コープすこう,須坂市小河原1080-1,長机1～２台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,電源有り,,,,,,,
,ベイシア,ベイシア薬品坂城,埴科郡坂城町南条６４０,約3坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープファーマーズ松代,長野市松代町西寺尾字町裏1450,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープしんまち,長野市信州新町新町958,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープみゆき,飯山市大字常盤字久保通り7419,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープ原村,諏訪郡原村払沢11909-2,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープファーマーズ富士見,諏訪郡富士見町落合9984-1025,長机1台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープファーマーズピアみどり,茅野市豊平3066,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープファーマーズサン・ライフ,茅野市玉川神之原3035-1,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープきそ,木曽郡木曽町福島塩淵2872,1～2台分程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープ伊那中央,伊那市狐島4385-1,1～2台分程,屋内（風除室含む）,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
,Aコープ長野,Aコープ美すず,伊那市美篶上原4283-3,現地確認,屋外,グラスト,"38,000","44,000",要確認,,,,,,,,,,,
