東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,BIGBOX高田馬場,BIGBOX高田馬場,新宿区高田馬場1丁目35-3,長机2台分程,屋内（風除室含む）,グラスト,"60,000","66,000",要確認,,,,,,,,,,,,
,BIGFUN平和島,BIGFUN平和島,大田区平和島１丁目１−１,10～15坪,屋内（風除室含む）,場所とる,"35,000","40,000",要確認,,,,,,,,,,,,
,Bivi,Bivi南千住①　1F半屋内スペース,荒川区南千住4-7-1,3.6坪,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,SB・YM・au・ドコモ　はＮＧ,,,,,,,,
,Bivi,Bivi南千住②　1F屋外,荒川区南千住4-7-1,2.7坪,屋外,グラスト,"30,000","50,000",要確認,,,,SB・YM・au・ドコモ　はＮＧ,,,,,,,,
,マルフジ,マルフジ羽村,羽村市羽東1-21-28,要確認,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ福生,福生市武蔵野台1-9-8,要確認,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ千ヶ瀬,青梅市千ケ瀬町3-400,5.5㎡程度,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ昭島市役所通り①　店外入口左横（向かって右手）,昭島市田中町1-30-1,要確認,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ昭島市役所通り②　店外入口左横（向かって左手）,昭島市田中町1-30-1,6㎡程度,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ南田園,"福生市南田園2-15-1",6㎡程度,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ東中神,"昭島市玉川町4-5-1",5.5㎡,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ舘谷,あきる野市舘谷241,6㎡程度,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,マルフジ,マルフジ東青梅,青梅市東青梅2-14-2,6㎡程度,屋外,場所とる,"12,000","12,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF秋葉原駅前,千代田区神田佐久間町1-6-4,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF新宿靖国通り,新宿区新宿5-2-1,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
