神奈川,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオン,藤沢店,神奈川県藤沢市大庭5061-2,エスカレーター横ふれあい広場C,屋内（風除室含む）,場所とる,"25,000","30,000",要確認,,,,,,,,,,,
,イオン,藤沢店,神奈川県藤沢市大庭5061-2,郵便局側南入口外A,屋外,,,,要確認,,,,,,,,,,,
,イオン,藤沢店,神奈川県藤沢市大庭5061-2,郵便局側南入口外B,屋外,,,,要確認,,,,,,,,,,,
,コーナンPRO,上川井店,神奈川県横浜市旭区上川井町33番地4,お問い合わせ下さい,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,三和こどもの国店,神奈川県横浜市青葉区奈良1-2-1-2f,共用部スぺース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,コーナン,厚木下荻野店,神奈川県厚木市下荻野1200番地1,エレベーター横,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,青葉桂台店,神奈川県横浜市青葉区桂台2-38-5,お問合せください,,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,下永谷店,神奈川県横浜市港南区下永谷2丁目1番17号,駐車場スペース,屋外,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,246座間店,神奈川県座間市東原2-14-43,お問い合わせください,,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,港北インター,横浜市都筑区折本町152,要確認,,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,大和,大和市福田5687-1,要確認,,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,戸塚汲沢店,神奈川県横浜市戸塚区汲沢町1158番地1,エスカレーター付近（サービスカウンター側）,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,港北インター店,神奈川県横浜市都筑区折本町191番地,エレベーターホール,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,コーナン,宮前上野川店,神奈川県川崎市宮前区西野川1丁目33番44号,入口横,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,中央林間店,神奈川県大和市中央林間七丁目7番1号,入口左側,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,川崎小田栄店,神奈川県川崎市川崎区小田栄2丁目3番1号,エスカレーター前,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,鎌倉大船店,神奈川県鎌倉市岡本1188番地1,柱回り,屋外,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,厚木戸室店,神奈川県厚木市戸室1丁目29-15,サッカ台横,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,港北ニュータウン店,神奈川県横浜市都筑区北山田5丁目13-1,EVホール（エスカレーター前）,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,川崎小向店,神奈川県川崎市幸区小向西町2丁目4番地,入口右手エレベーター前,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,川崎小向店,神奈川県川崎市幸区小向西町2丁目4番地,EV側エスカレーター前,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,相模原小山店,神奈川県相模原市中央区小山3丁目37番1号,エレベーターホール（スーパーライフの入口付近）,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,平塚市役所前店,神奈川県平塚市浅間町10番12号,入口付近,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,港北センター南店,神奈川県横浜市都筑区茅ヶ崎中央53番1号,駐車場側店内入口,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,鶴見獅子ヶ谷店,神奈川県横浜市鶴見区獅子ケ谷3-2-68,レジ付近,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナンPRO,鎌倉大船店,神奈川県鎌倉市岡本1188番地1,お問い合わせください,,,,,要確認,,,,,,,,,,,
,コーナンPRO,WORK＆TOOL茅ヶ崎店,茅ヶ崎市下町屋3-3-35,お問い合わせください,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,本牧フロント店,神奈川県横浜市中区小港町二丁目100番地4,パン屋（アンティーク）付近柱周り,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,湘南藤沢店,藤沢市遠藤698-10,要確認,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
