栃木,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオンモール,イオンモール小山店②　店内スペース①,栃木県小山市中久喜1467-1,要確認,屋内（風除室含む）,ダイエースペース,"30,000","100,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオンモール,イオンモール小山店③　店内スペース②,栃木県小山市中久喜1467-1,要確認,屋内（風除室含む）,ダイエースペース,"30,000","80,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオンモール,イオンモール小山店④　１階エレベーター前　催事スペース,栃木県小山市中久喜1467-1,要確認,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,,,,,,,,,
,イオン,イオン栃木店①　2F サイゼリヤ隣空床区画,栃木県栃木市箱森町37-9,--㎡ / 23坪,屋内（風除室含む）,スペースラボ,,,要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオン栃木店②　2F 専門店空区画,栃木県栃木市箱森町37-9,--㎡ / 34坪,,スペースラボ,,,要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオン栃木店③　1階　ＡＢＣマート前,栃木県栃木市箱森町37-9,要確認,屋内（風除室含む）,ダイエースペース,"22,000","38,500",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオン栃木店④　1階中央階段近く、エスカレーター前,栃木県栃木市箱森町37-9,要確認,屋内（風除室含む）,ダイエースペース,"22,000","38,500",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,ザ・ビッグエクストラ那須塩原店　中央入口風除室,那須塩原市島方455,要確認,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,ザ・ビッグエクストラさくら店　店内スペース,さくら市櫻野1551,要確認,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオンタウン,イオンタウン真岡,真岡市台町２６６８,要確認,屋内（風除室含む）,ダイエースペース,"31,000","41,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオンタウン,イオンタウン佐野　風除室,佐野市浅沼町742,要確認,屋内（風除室含む）,ダイエースペース,"26,000","26,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオンタウン,イオンタウンさくら　フードコート前,さくら市櫻野1551,要確認,屋内（風除室含む）,ダイエースペース,"30,000","40,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,カスミ,カスミ壬生店,栃木県下都賀郡壬生町 大師町30番22号,要確認,,スペースラボ,,,要確認,,,,都度申請/回答まで3日前後,,,,,,,
,カスミ,カスミおもちゃのまち店　店頭軒下,栃木県下都賀郡壬生町 おもちゃのまち三丁目1番27号,8㎡ / 2坪,屋外,スペースラボ,,,要確認,,,,都度申請/回答まで3日前後,,,,,,,
,カスミ,カスミ上三川店,栃木県河内郡上三川町上三川4756,要確認,,スペースラボ,,,要確認,,,,都度申請/回答まで3日前後,,,,,,,
,カスミ,カスミ浅沼店,栃木県佐野市浅沼町742,要確認,,スペースラボ,,,要確認,,,,都度申請/回答まで3日前後,,,,,,,
,カスミ,カスミ鹿沼店　青果側風除室,栃木県鹿沼市栄町2丁目15-1,6㎡ / 2坪,屋内（風除室含む）,スペースラボ,,,要確認,,,,都度申請/回答まで3日前後,,,,,,,
,アピタ,①足利店/1F不二家跡地,栃木県足利市朝倉町245番地,6.4㎡,屋内（風除室含む）,自由市場,要確認,要確認,要確認,,,,都度申請/回答まで3日前後,,,,,,,
,アピタ,②足利店/1F飲食店街休憩所スペース,栃木県足利市朝倉町245番地,6.4㎡,屋内（風除室含む）,自由市場,要確認,要確認,要確認,,,,都度申請/回答まで3日前後,,,,,,,
